Gene,Sample,Habitat,Group
CP137721.1_274,GCA_033406235.1_ASM3340623v1_genomic,pig faeces,GroupF
LR881940.1_214,GCA_904426485.1_2015-01-2097_genomic,pig faeces,GroupD
LR882052.1_200,GCA_904711295.1_2015-01-466_genomic,pig faeces,GroupD
CAJGWP010000001.1_892,GCA_904842675.1_2015-01-2838_genomic,pig faeces,GroupD
LSUT01000094.1_6,GCA_001653535.1_ASM165353v1_genomic,Soil,GroupC
LSRK02000144.1_9,GCA_001990545.2_ASM199054v2_genomic,Soil,GroupC
MVOS01000089.1_6,GCA_002196625.1_ASM219662v1_genomic,Soil,GroupF
MVOW01000040.1_37,GCA_002196635.1_ASM219663v1_genomic,Soil,GroupF
MVOU01000038.1_37,GCA_002196645.1_ASM219664v1_genomic,Soil,GroupF
MVOR01000028.1_18,GCA_002196735.1_ASM219673v1_genomic,Soil,GroupD
MVOV01000041.1_33,GCA_002196745.1_ASM219674v1_genomic,Soil,GroupD
NLOO01000090.1_5,GCA_002229605.1_ASM222960v1_genomic,Soil,GroupA
NLPO01000007.1_180,GCA_002230225.1_ASM223022v1_genomic,Soil,GroupA
NTEK01000089.1_4,GCA_002324695.1_ASM232469v1_genomic,Soil,GroupD
NTEL01000120.1_3,GCA_002324775.1_ASM232477v1_genomic,Soil,GroupD
NXMY01000075.1_18,GCA_002464695.1_ASM246469v1_genomic,Soil,GroupA
NXMZ01000120.1_13,GCA_002464705.1_ASM246470v1_genomic,Soil,GroupA
NXNA01000018.1_33,GCA_002464745.1_ASM246474v1_genomic,Soil,GroupA
NXNB01000088.1_104,GCA_002464755.1_ASM246475v1_genomic,Soil,GroupA
NXNC01000004.1_43,GCA_002464775.1_ASM246477v1_genomic,Soil,GroupA
NWNB01000006.1_207,GCA_002473645.1_ASM247364v1_genomic,Soil,GroupA
NWNC01000006.1_207,GCA_002473655.1_ASM247365v1_genomic,Soil,GroupA
NWND01000007.1_6,GCA_002473675.1_ASM247367v1_genomic,Soil,GroupA
NWNG01000006.1_6,GCA_002473685.1_ASM247368v1_genomic,Soil,GroupA
NWNI01000006.1_6,GCA_002473725.1_ASM247372v1_genomic,Soil,GroupA
NWNK01000006.1_6,GCA_002473735.1_ASM247373v1_genomic,Soil,GroupA
NWNM01000009.1_207,GCA_002473745.1_ASM247374v1_genomic,Soil,GroupA
NWNL01000006.1_6,GCA_002473765.1_ASM247376v1_genomic,Soil,GroupA
NWNN01000007.1_6,GCA_002473775.1_ASM247377v1_genomic,Soil,GroupA
NWNQ01000006.1_6,GCA_002473795.1_ASM247379v1_genomic,Soil,GroupA
NWNS01000006.1_207,GCA_002473825.1_ASM247382v1_genomic,Soil,GroupA
NWNX01000006.1_6,GCA_002473895.1_ASM247389v1_genomic,Soil,GroupA
NWNY01000007.1_6,GCA_002473915.1_ASM247391v1_genomic,Soil,GroupA
NWNZ01000007.1_6,GCA_002473945.1_ASM247394v1_genomic,Soil,GroupA
NWOA01000006.1_6,GCA_002473955.1_ASM247395v1_genomic,Soil,GroupA
NWOD01000006.1_6,GCA_002473995.1_ASM247399v1_genomic,Soil,GroupA
NWOG01000005.1_6,GCA_002474025.1_ASM247402v1_genomic,Soil,GroupA
NWOB01000006.1_6,GCA_002474035.1_ASM247403v1_genomic,Soil,GroupA
NWOC01000006.1_6,GCA_002474045.1_ASM247404v1_genomic,Soil,GroupA
NWOE01000006.1_6,GCA_002474085.1_ASM247408v1_genomic,Soil,GroupA
NWOO01000007.1_6,GCA_002474105.1_ASM247410v1_genomic,Soil,GroupA
NWOS01000006.1_6,GCA_002474185.1_ASM247418v1_genomic,Soil,GroupA
NWOR01000006.1_6,GCA_002474195.1_ASM247419v1_genomic,Soil,GroupA
NWOT01000006.1_6,GCA_002474205.1_ASM247420v1_genomic,Soil,GroupA
NWOU01000006.1_6,GCA_002474225.1_ASM247422v1_genomic,Soil,GroupA
NWNE01000007.1_6,GCA_002474245.1_ASM247424v1_genomic,Soil,GroupA
NWNF01000006.1_6,GCA_002474265.1_ASM247426v1_genomic,Soil,GroupA
NWOM01000006.1_207,GCA_002474285.1_ASM247428v1_genomic,Soil,GroupA
NWOV01000006.1_6,GCA_002475675.1_ASM247567v1_genomic,Soil,GroupA
NWOX01000007.1_6,GCA_002475705.1_ASM247570v1_genomic,Soil,GroupA
NWOY01000005.1_207,GCA_002475725.1_ASM247572v1_genomic,Soil,GroupA
NWPD01000007.1_6,GCA_002475795.1_ASM247579v1_genomic,Soil,GroupA
NWPE01000009.1_6,GCA_002475825.1_ASM247582v1_genomic,Soil,GroupA
NWPF01000006.1_6,GCA_002475845.1_ASM247584v1_genomic,Soil,GroupA
NWPH01000006.1_6,GCA_002475865.1_ASM247586v1_genomic,Soil,GroupA
NWPI01000006.1_6,GCA_002475875.1_ASM247587v1_genomic,Soil,GroupA
NWPJ01000006.1_6,GCA_002475895.1_ASM247589v1_genomic,Soil,GroupA
NWPK01000005.1_6,GCA_002475925.1_ASM247592v1_genomic,Soil,GroupA
NWPL01000006.1_207,GCA_002475935.1_ASM247593v1_genomic,Soil,GroupA
NWPM01000007.1_6,GCA_002475965.1_ASM247596v1_genomic,Soil,GroupA
NWPN01000005.1_6,GCA_002475975.1_ASM247597v1_genomic,Soil,GroupA
NWPR01000006.1_6,GCA_002476055.1_ASM247605v1_genomic,Soil,GroupA
NWPS01000007.1_6,GCA_002476085.1_ASM247608v1_genomic,Soil,GroupA
NWPV01000007.1_6,GCA_002476095.1_ASM247609v1_genomic,Soil,GroupA
NWOW01000006.1_208,GCA_002476125.1_ASM247612v1_genomic,Soil,GroupA
NWPC01000008.1_6,GCA_002476135.1_ASM247613v1_genomic,Soil,GroupA
NWPG01000007.1_6,GCA_002476165.1_ASM247616v1_genomic,Soil,GroupA
NWPT01000006.1_6,GCA_002476195.1_ASM247619v1_genomic,Soil,GroupA
NWPU01000006.1_6,GCA_002476205.1_ASM247620v1_genomic,Soil,GroupA
NWPW01000006.1_6,GCA_002476215.1_ASM247621v1_genomic,Soil,GroupA
NWNJ01000007.1_6,GCA_002486525.1_ASM248652v1_genomic,Soil,GroupA
NWOH01000007.1_6,GCA_002486625.1_ASM248662v1_genomic,Soil,GroupA
NWOF01000006.1_6,GCA_002486635.1_ASM248663v1_genomic,Soil,GroupA
NWNU01000007.1_209,GCA_002486645.1_ASM248664v1_genomic,Soil,GroupA
NWOJ01000006.1_6,GCA_002486685.1_ASM248668v1_genomic,Soil,GroupA
NWON01000007.1_6,GCA_002486695.1_ASM248669v1_genomic,Soil,GroupA
NWNH01000006.1_6,GCA_002486725.1_ASM248672v1_genomic,Soil,GroupA
NWOQ01000007.1_6,GCA_002486775.1_ASM248677v1_genomic,Soil,GroupA
NWOL01000006.1_6,GCA_002509765.1_ASM250976v1_genomic,Soil,GroupA
NKLV01000005.1_207,GCA_002514775.1_ASM251477v1_genomic,Soil,GroupD
NKLW01000008.1_207,GCA_002514785.1_ASM251478v1_genomic,Soil,GroupD
NMER01000026.1_56,GCA_002538055.1_ASM253805v1_genomic,Soil,GroupB
NMDG01000042.1_30,GCA_002541225.1_ASM254122v1_genomic,Soil,GroupC
NMEQ01000060.1_24,GCA_002542525.1_ASM254252v1_genomic,Soil,GroupB
NNYX01000006.1_199,GCA_002545155.1_ASM254515v1_genomic,Soil,GroupC
PQIK01000016.1_33,GCA_002991625.1_ASM299162v1_genomic,Soil,GroupF
PQIO01000042.1_5,GCA_002991685.1_ASM299168v1_genomic,Soil,GroupF
PQIV01000032.1_5,GCA_002991805.1_ASM299180v1_genomic,Soil,GroupD
PQIU01000041.1_30,GCA_002991825.1_ASM299182v1_genomic,Soil,GroupD
PQJB01000022.1_5,GCA_002991845.1_ASM299184v1_genomic,Soil,GroupD
PQIY01000040.1_30,GCA_002991865.1_ASM299186v1_genomic,Soil,GroupF
PQIZ01000038.1_30,GCA_002991885.1_ASM299188v1_genomic,Soil,GroupF
PQJH01000063.1_9,GCA_002991975.1_ASM299197v1_genomic,Soil,GroupD
PQIW01000059.1_9,GCA_002992105.1_ASM299210v1_genomic,Soil,GroupD
PJRC01000003.1_6,GCA_003243535.1_ASM324353v1_genomic,Soil,GroupB
PJRD01000014.1_6,GCA_003243565.1_ASM324356v1_genomic,Soil,GroupB
PJRF01000013.1_6,GCA_003243585.1_ASM324358v1_genomic,Soil,GroupB
PJRG01000004.1_6,GCA_003243605.1_ASM324360v1_genomic,Soil,GroupB
PJRH01000016.1_6,GCA_003243635.1_ASM324363v1_genomic,Soil,GroupB
PJRI01000007.1_226,GCA_003243655.1_ASM324365v1_genomic,Soil,GroupB
PJRB01000022.1_6,GCA_003243675.1_ASM324367v1_genomic,Soil,GroupB
QQON01000058.1_9,GCA_003345435.1_ASM334543v1_genomic,Soil,GroupF
RTSZ01000040.1_4,GCA_003891015.1_PDT000343901.1_genomic,Soil,GroupF
RVZX01000003.1_6,GCA_003922435.1_PDT000395690.1_genomic,Soil,GroupE
RQOE01000035.1_6,GCA_003934205.1_ASM393420v1_genomic,Soil,GroupF
QBEZ01000035.1_26,GCA_004103935.1_ASM410393v1_genomic,Soil,GroupC
AAAGTK010000082.1_6,GCA_004275445.1_PDT000377942.1_genomic,Soil,GroupE
SDSG01000012.1_6,GCA_004522275.1_ASM452227v1_genomic,Soil,GroupE
SDSF01000009.1_6,GCA_004522325.1_3.K6EC_genomic,Soil,GroupE
SDUG01000011.1_178,GCA_004522495.1_ASM452249v1_genomic,Soil,GroupE
SDUD01000011.1_6,GCA_004522515.1_ASM452251v1_genomic,Soil,GroupE
SRMK01000049.1_5,GCA_005233995.1_ASM523399v1_genomic,Soil,GroupD
VAUG01000051.1_5,GCA_005978485.1_ASM597848v1_genomic,Soil,GroupE
VNXD01000009.1_6,GCA_009819955.1_ASM981995v1_genomic,Soil,GroupD
VNWZ01000151.1_6,GCA_009819965.1_ASM981996v1_genomic,Soil,GroupD
VNXA01000040.1_6,GCA_009820005.1_ASM982000v1_genomic,Soil,GroupD
VNXB01000046.1_6,GCA_009820015.1_ASM982001v1_genomic,Soil,GroupD
VNXF01000019.1_47,GCA_009820055.1_ASM982005v1_genomic,Soil,GroupD
VNXV01000038.1_5,GCA_009820375.1_ASM982037v1_genomic,Soil,GroupD
VNXZ01000006.1_179,GCA_009820445.1_ASM982044v1_genomic,Soil,GroupD
VNYD01000049.1_6,GCA_009820535.1_ASM982053v1_genomic,Soil,GroupD
VNYH01000043.1_5,GCA_009820605.1_ASM982060v1_genomic,Soil,GroupD
VNYL01000038.1_6,GCA_009820675.1_ASM982067v1_genomic,Soil,GroupD
VNYS01000008.1_6,GCA_009820795.1_ASM982079v1_genomic,Soil,GroupD
VNYW01000009.1_6,GCA_009820875.1_ASM982087v1_genomic,Soil,GroupD
VNZD01000005.1_6,GCA_009821025.1_ASM982102v1_genomic,Soil,GroupD
CP048304.1_565,GCA_010365325.1_ASM1036532v1_genomic,Soil,GroupE
CP048326.1_204,GCA_010365405.1_ASM1036540v1_genomic,Soil,GroupE
CP048330.1_199,GCA_010365425.1_ASM1036542v1_genomic,Soil,GroupE
CP048344.1_202,GCA_010365465.1_ASM1036546v1_genomic,Soil,GroupE
CP048359.1_202,GCA_010365485.1_ASM1036548v1_genomic,Soil,GroupE
CP048367.1_240,GCA_010365525.1_ASM1036552v1_genomic,Soil,GroupE
CP048376.1_201,GCA_010365545.1_ASM1036554v1_genomic,Soil,GroupE
JAAQGJ010000091.1_5,GCA_011604965.1_ASM1160496v1_genomic,Soil,GroupE
AARCRJ020000059.1_11,GCA_011890545.2_ASM1189054v2_genomic,Soil,GroupB
AARIFA010000004.1_82,GCA_011965745.1_PDT000481417.2_genomic,Soil,GroupD
AARIHW010000002.1_83,GCA_011967865.1_PDT000481407.2_genomic,Soil,GroupD
AARIJT010000004.1_82,GCA_011972535.1_PDT000481401.2_genomic,Soil,GroupD
AARLJM010000002.1_174,GCA_012018185.1_PDT000439578.2_genomic,Soil,GroupE
AARMBB010000011.1_48,GCA_012039095.1_PDT000418652.2_genomic,Soil,GroupE
AARMWF010000008.1_191,GCA_012050065.1_PDT000413148.1_genomic,Soil,GroupE
AARMWE010000022.1_38,GCA_012050785.1_PDT000413141.1_genomic,Soil,GroupE
AARNZQ010000011.1_31,GCA_012068715.1_PDT000399966.2_genomic,Soil,GroupB
AARODB010000003.1_5,GCA_012070945.1_PDT000395669.1_genomic,Soil,GroupE
AARTSS010000040.1_5,GCA_012149985.1_PDT000347485.2_genomic,Soil,GroupE
AARTYV010000035.1_6,GCA_012153565.1_PDT000344018.2_genomic,Soil,GroupD
AARUSS010000009.1_172,GCA_012163515.1_PDT000439494.1_genomic,Soil,GroupA
AARVCZ010000008.1_243,GCA_012170595.1_PDT000459547.1_genomic,Soil,GroupF
AARVEH010000006.1_186,GCA_012174315.1_PDT000459518.1_genomic,Soil,GroupF
AARWFG010000047.1_5,GCA_012184865.1_PDT000466973.1_genomic,Soil,GroupA
AARWLP010000002.1_84,GCA_012189145.1_PDT000312258.3_genomic,Soil,GroupA
AARWLN010000014.1_83,GCA_012189165.1_PDT000312257.3_genomic,Soil,GroupA
AARWXT010000003.1_25,GCA_012193765.1_PDT000323816.2_genomic,Soil,GroupA
AARXNM010000002.1_84,GCA_012195005.1_PDT000319764.2_genomic,Soil,GroupA
AARXNQ010000004.1_43,GCA_012196165.1_PDT000319733.2_genomic,Soil,GroupA
AARYEY010000046.1_25,GCA_012202325.1_PDT000314930.3_genomic,Soil,GroupA
AARYEW010000076.1_5,GCA_012202855.1_PDT000315303.3_genomic,Soil,GroupA
AARYFL010000015.1_83,GCA_012203045.1_PDT000314498.3_genomic,Soil,GroupA
AARYGE010000011.1_83,GCA_012203105.1_PDT000314375.3_genomic,Soil,GroupA
AARYST010000026.1_43,GCA_012205385.1_PDT000312269.3_genomic,Soil,GroupA
AARYFU010000033.1_6,GCA_012206185.1_PDT000314483.3_genomic,Soil,GroupA
AARYTN010000002.1_199,GCA_012207285.1_PDT000310641.2_genomic,Soil,GroupC
AARZLR010000034.1_5,GCA_012213625.1_PDT000306491.2_genomic,Soil,GroupA
AARYPH010000007.1_181,GCA_012229585.1_PDT000312634.2_genomic,Soil,GroupA
AARXAD010000034.1_25,GCA_012235345.1_PDT000323588.2_genomic,Soil,GroupA
AASAUD010000035.1_6,GCA_012248775.1_PDT000354952.2_genomic,Soil,GroupC
AASAXT010000068.1_5,GCA_012250025.1_PDT000470079.1_genomic,Soil,GroupA
AASAYJ010000023.1_71,GCA_012251725.1_PDT000470011.1_genomic,Soil,GroupA
AASCBZ010000012.1_106,GCA_012265885.1_PDT000281736.2_genomic,Soil,GroupA
AASCCB010000022.1_44,GCA_012266005.1_PDT000281735.2_genomic,Soil,GroupA
AASBYA010000006.1_186,GCA_012267045.1_PDT000283065.3_genomic,Soil,GroupB
AASBYB010000007.1_6,GCA_012267145.1_PDT000283063.3_genomic,Soil,GroupB
AASDKL010000006.1_176,GCA_012294445.1_PDT000510904.1_genomic,Soil,GroupA
AASDKS010000014.1_28,GCA_012294645.1_PDT000510901.1_genomic,Soil,GroupA
AASDKX010000009.1_185,GCA_012294725.1_PDT000510865.1_genomic,Soil,GroupA
AASDLA010000003.1_180,GCA_012294785.1_PDT000510863.1_genomic,Soil,GroupA
AASEZD010000048.1_5,GCA_012326065.1_PDT000276477.2_genomic,Soil,GroupA
AASEZJ010000054.1_5,GCA_012326105.1_PDT000276436.2_genomic,Soil,GroupA
AASEZG010000052.1_5,GCA_012326145.1_PDT000276510.2_genomic,Soil,GroupA
AASEZT010000047.1_5,GCA_012326225.1_PDT000276415.2_genomic,Soil,GroupA
AASEZK010000050.1_5,GCA_012326265.1_PDT000276423.2_genomic,Soil,GroupA
AASFAN010000054.1_5,GCA_012326305.1_PDT000276372.2_genomic,Soil,GroupA
AASFAR010000052.1_5,GCA_012326325.1_PDT000276371.2_genomic,Soil,GroupA
AASFAQ010000050.1_4,GCA_012326345.1_PDT000276373.2_genomic,Soil,GroupA
AASFAW010000048.1_5,GCA_012326365.1_PDT000276370.2_genomic,Soil,GroupA
AASFAT010000050.1_5,GCA_012326405.1_PDT000276364.2_genomic,Soil,GroupA
AASFAU010000059.1_4,GCA_012326425.1_PDT000276362.2_genomic,Soil,GroupA
AASFAO010000048.1_5,GCA_012326445.1_PDT000276369.2_genomic,Soil,GroupA
AASFAV010000075.1_4,GCA_012326465.1_PDT000276361.2_genomic,Soil,GroupA
AASFAS010000048.1_5,GCA_012326485.1_PDT000276368.2_genomic,Soil,GroupA
AASFAX010000048.1_4,GCA_012326545.1_PDT000276360.2_genomic,Soil,GroupA
AASEZW010000077.1_4,GCA_012326605.1_PDT000276400.2_genomic,Soil,GroupA
AASFAJ010000061.1_5,GCA_012326705.1_PDT000276384.2_genomic,Soil,GroupA
AASFAY010000047.1_5,GCA_012326805.1_PDT000276357.2_genomic,Soil,GroupA
AASEZO010000047.1_5,GCA_012326825.1_PDT000276412.2_genomic,Soil,GroupA
AASEZM010000048.1_5,GCA_012326845.1_PDT000276421.2_genomic,Soil,GroupA
AASFAZ010000049.1_5,GCA_012326865.1_PDT000276351.2_genomic,Soil,GroupA
AASFBA010000017.1_84,GCA_012326885.1_PDT000276359.2_genomic,Soil,GroupA
AASFBE010000067.1_5,GCA_012326905.1_PDT000276350.2_genomic,Soil,GroupA
AASFBB010000072.1_5,GCA_012326925.1_PDT000276343.3_genomic,Soil,GroupA
AASFBD010000049.1_5,GCA_012326945.1_PDT000276356.2_genomic,Soil,GroupA
AASFBL010000065.1_4,GCA_012326985.1_PDT000276344.2_genomic,Soil,GroupA
AASFBG010000053.1_5,GCA_012327065.1_PDT000276324.2_genomic,Soil,GroupA
AASEZX010000046.1_5,GCA_012327105.1_PDT000276403.2_genomic,Soil,GroupA
AASEZY010000049.1_5,GCA_012327125.1_PDT000276402.2_genomic,Soil,GroupA
AASFAF010000068.1_5,GCA_012327145.1_PDT000276383.2_genomic,Soil,GroupA
AASFAL010000052.1_5,GCA_012327165.1_PDT000276382.2_genomic,Soil,GroupA
AASFAC010000061.1_5,GCA_012327185.1_PDT000276385.2_genomic,Soil,GroupA
AASFAH010000047.1_5,GCA_012327205.1_PDT000276379.2_genomic,Soil,GroupA
AASFAG010000049.1_5,GCA_012327225.1_PDT000276381.2_genomic,Soil,GroupA
AASFAK010000055.1_5,GCA_012327245.1_PDT000276376.2_genomic,Soil,GroupA
AASFAI010000054.1_5,GCA_012327265.1_PDT000276378.2_genomic,Soil,GroupA
AASFAP010000048.1_5,GCA_012327285.1_PDT000276375.2_genomic,Soil,GroupA
AASEZU010000055.1_5,GCA_012327305.1_PDT000276411.2_genomic,Soil,GroupA
AASFAM010000057.1_5,GCA_012327325.1_PDT000276374.2_genomic,Soil,GroupA
AASEZI010000079.1_5,GCA_012328765.1_PDT000276440.2_genomic,Soil,GroupA
AASEZE010000052.1_5,GCA_012328775.1_PDT000276441.2_genomic,Soil,GroupA
AASEZH010000096.1_4,GCA_012328805.1_PDT000276455.2_genomic,Soil,GroupA
AASEYX010000051.1_5,GCA_012331665.1_PDT000276907.2_genomic,Soil,GroupA
AASEYR010000052.1_5,GCA_012331685.1_PDT000276908.2_genomic,Soil,GroupA
AASEZA010000051.1_4,GCA_012331705.1_PDT000276898.2_genomic,Soil,GroupA
AASEYW010000063.1_5,GCA_012331715.1_PDT000276897.2_genomic,Soil,GroupA
AASEYV010000054.1_5,GCA_012331745.1_PDT000276912.2_genomic,Soil,GroupA
AASEYZ010000067.1_4,GCA_012331765.1_PDT000276511.2_genomic,Soil,GroupA
AASEYT010000048.1_5,GCA_012331805.1_PDT000276900.2_genomic,Soil,GroupA
AASHBU010000015.1_34,GCA_012336035.1_PDT000265098.2_genomic,Soil,GroupF
AASHVU010000054.1_5,GCA_012352405.1_PDT000258418.2_genomic,Soil,GroupF
AASHVI010000007.1_181,GCA_012352545.1_PDT000258430.2_genomic,Soil,GroupF
AASHVQ010000068.1_5,GCA_012352585.1_PDT000258415.2_genomic,Soil,GroupF
AASHUW010000006.1_191,GCA_012352685.1_PDT000258460.2_genomic,Soil,GroupF
AASHVD010000014.1_85,GCA_012352745.1_PDT000258454.2_genomic,Soil,GroupF
AASHVB010000046.1_5,GCA_012352755.1_PDT000258452.2_genomic,Soil,GroupF
AASHVK010000022.1_80,GCA_012352915.1_PDT000258447.2_genomic,Soil,GroupD
AASHVG010000043.1_5,GCA_012352945.1_PDT000258444.2_genomic,Soil,GroupD
AASHVJ010000034.1_28,GCA_012353025.1_PDT000258437.2_genomic,Soil,GroupD
AASHVY010000014.1_28,GCA_012353065.1_PDT000258398.2_genomic,Soil,GroupD
AASHVX010000084.1_5,GCA_012353085.1_PDT000258395.2_genomic,Soil,GroupD
AASHVV010000009.1_178,GCA_012353125.1_PDT000258397.2_genomic,Soil,GroupD
AASHVP010000006.1_180,GCA_012353145.1_PDT000258435.2_genomic,Soil,GroupD
AASHVZ010000006.1_188,GCA_012353205.1_PDT000258396.2_genomic,Soil,GroupF
AASHWF010000008.1_219,GCA_012353265.1_PDT000258379.2_genomic,Soil,GroupF
AASHWH010000016.1_92,GCA_012353285.1_PDT000258375.2_genomic,Soil,GroupF
AASHWJ010000056.1_6,GCA_012353365.1_PDT000258376.2_genomic,Soil,GroupF
AASHWM010000046.1_5,GCA_012353425.1_PDT000258370.2_genomic,Soil,GroupF
AASHWN010000007.1_173,GCA_012353445.1_PDT000258367.2_genomic,Soil,GroupF
AASHWO010000010.1_192,GCA_012353505.1_PDT000258368.2_genomic,Soil,GroupF
AASIJN010000001.1_176,GCA_012363575.1_PDT000253426.2_genomic,Soil,GroupF
AASIZF010000017.1_86,GCA_012375775.1_PDT000250542.2_genomic,Soil,GroupF
AASJPO020000006.1_5,GCA_012388115.2_ASM1238811v2_genomic,Soil,GroupB
AASNVK010000020.1_23,GCA_012448685.1_PDT000604327.1_genomic,Soil,GroupE
AASNVJ010000041.1_5,GCA_012448725.1_PDT000604370.1_genomic,Soil,GroupE
AASNUZ010000003.1_233,GCA_012448865.1_PDT000604515.1_genomic,Soil,GroupE
AASNVH010000020.1_23,GCA_012449445.1_PDT000604403.1_genomic,Soil,GroupE
AASOKP010000006.1_86,GCA_012460065.1_PDT000604342.1_genomic,Soil,GroupE
AASOKM010000047.1_27,GCA_012460105.1_PDT000604367.1_genomic,Soil,GroupE
AASOLI010000003.1_82,GCA_012460585.1_PDT000217938.3_genomic,Soil,GroupC
AASOLJ010000001.1_79,GCA_012460595.1_PDT000217941.3_genomic,Soil,GroupC
AASOLG010000004.1_83,GCA_012460645.1_PDT000217940.3_genomic,Soil,GroupC
AASOLM010000004.1_42,GCA_012460665.1_PDT000217934.3_genomic,Soil,GroupC
AASOLO010000001.1_82,GCA_012460685.1_PDT000217932.3_genomic,Soil,GroupC
AASOMQ010000035.1_16,GCA_012461145.1_PDT000217102.2_genomic,Soil,GroupD
AASONI010000008.1_39,GCA_012461565.1_PDT000604332.1_genomic,Soil,GroupE
AASOTK010000013.1_89,GCA_012464825.1_PDT000604409.1_genomic,Soil,GroupE
AASPKE010000010.1_42,GCA_012476135.1_PDT000205000.3_genomic,Soil,GroupB
AASPKW010000001.1_73,GCA_012476555.1_PDT000204924.3_genomic,Soil,GroupB
AASPVF010000021.1_25,GCA_012483145.1_PDT000198510.3_genomic,Soil,GroupC
AASQEY010000003.1_82,GCA_012488925.1_PDT000191519.3_genomic,Soil,GroupA
AASQEQ010000041.1_5,GCA_012489045.1_PDT000190281.4_genomic,Soil,GroupD
AASQFC010000020.1_24,GCA_012489095.1_PDT000191518.3_genomic,Soil,GroupA
AASQFF010000005.1_84,GCA_012489235.1_PDT000191512.3_genomic,Soil,GroupA
AASQFD010000006.1_25,GCA_012489295.1_PDT000191513.3_genomic,Soil,GroupA
AASRSZ010000008.1_42,GCA_012540275.1_PDT000162804.3_genomic,Soil,GroupC
AASRTB010000034.1_25,GCA_012540285.1_PDT000162802.3_genomic,Soil,GroupC
AASRTE010000017.1_43,GCA_012540375.1_PDT000162803.3_genomic,Soil,GroupC
AASRTF010000002.1_43,GCA_012540435.1_PDT000162799.3_genomic,Soil,GroupC
AASRTA010000011.1_84,GCA_012540475.1_PDT000162800.3_genomic,Soil,GroupC
AASRZC010000030.1_6,GCA_012543535.1_PDT000161902.2_genomic,Soil,GroupD
AASRZU010000112.1_5,GCA_012543955.1_PDT000161881.3_genomic,Soil,GroupD
AASSMS010000004.1_179,GCA_012551795.1_PDT000160328.3_genomic,Soil,GroupD
AASSRJ010000001.1_6,GCA_012553985.1_PDT000158943.2_genomic,Soil,GroupD
AASSVJ010000001.1_82,GCA_012555695.1_PDT000158694.2_genomic,Soil,GroupD
AASSVH010000001.1_42,GCA_012555965.1_PDT000158678.2_genomic,Soil,GroupD
AASSYS010000074.1_6,GCA_012557965.1_PDT000157928.2_genomic,Soil,GroupD
AASSYY010000003.1_173,GCA_012558305.1_PDT000157915.2_genomic,Soil,GroupD
AASTCD010000017.1_111,GCA_012559305.1_PDT000157777.2_genomic,Soil,GroupD
AASTHQ010000001.1_173,GCA_012562795.1_PDT000157259.2_genomic,Soil,GroupD
AASTML010000014.1_111,GCA_012566025.1_PDT000156993.2_genomic,Soil,GroupD
AASTRZ010000068.1_5,GCA_012568555.1_PDT000156716.3_genomic,Soil,GroupD
AASTUJ010000049.1_5,GCA_012569465.1_PDT000156567.2_genomic,Soil,GroupD
AASTXB010000038.1_4,GCA_012571065.1_PDT000156002.2_genomic,Soil,GroupD
AASUDD010000003.1_173,GCA_012574585.1_PDT000155681.2_genomic,Soil,GroupD
AASUMG010000005.1_179,GCA_012579385.1_PDT000155195.3_genomic,Soil,GroupD
AASUUY010000053.1_4,GCA_012583555.1_PDT000151068.3_genomic,Soil,GroupD
AASVIC010000066.1_6,GCA_012592745.1_PDT000656748.1_genomic,Soil,GroupE
AASVLM010000029.1_44,GCA_012594185.1_PDT000656719.1_genomic,Soil,GroupE
AASVMX010000052.1_28,GCA_012595305.1_PDT000650305.1_genomic,Soil,GroupE
AASVND010000041.1_27,GCA_012595345.1_PDT000650295.1_genomic,Soil,GroupE
AASVNC010000032.1_57,GCA_012595365.1_PDT000650292.1_genomic,Soil,GroupE
AASVNR010000092.1_4,GCA_012595705.1_PDT000649798.1_genomic,Soil,GroupE
AASXEA010000053.1_27,GCA_012619025.1_PDT000656733.1_genomic,Soil,GroupE
AASXLM010000026.1_4,GCA_012624345.1_PDT000604333.1_genomic,Soil,GroupE
AASXLE010000002.1_190,GCA_012624585.1_PDT000604371.1_genomic,Soil,GroupE
AASXTX010000098.1_5,GCA_012629705.1_PDT000146110.3_genomic,Soil,GroupC
AASYXN010000105.1_5,GCA_012651985.1_PDT000671254.1_genomic,Soil,GroupE
AASYXO010000106.1_5,GCA_012652065.1_PDT000671188.1_genomic,Soil,GroupE
AASZMG010000002.1_228,GCA_012662805.1_PDT000656710.1_genomic,Soil,GroupE
AASZMI010000088.1_4,GCA_012663125.1_PDT000657034.1_genomic,Soil,GroupE
AASZMZ010000006.1_181,GCA_012663445.1_PDT000650302.1_genomic,Soil,GroupE
AATBEF010000011.1_103,GCA_012696155.1_PDT000689956.1_genomic,Soil,GroupE
AATBGK010000008.1_188,GCA_012697305.1_PDT000688723.1_genomic,Soil,GroupF
AATBGT010000009.1_188,GCA_012697405.1_PDT000688650.1_genomic,Soil,GroupF
AATBGX010000039.1_5,GCA_012697545.1_PDT000688652.1_genomic,Soil,GroupF
AATBHO010000006.1_203,GCA_012697785.1_PDT000688595.1_genomic,Soil,GroupE
AATDRX010000041.1_6,GCA_012740615.1_PDT000104583.3_genomic,Soil,GroupD
AATEDB010000010.1_42,GCA_012741355.1_PDT000101846.3_genomic,Soil,GroupD
AATEDF010000002.1_82,GCA_012741395.1_PDT000101847.3_genomic,Soil,GroupD
